name,url,group,stars,forks,open_issues,language,archived,created_at,pushed_at,description,fetch_status,commit,feature_file_count,has_workflows
JoanEsquivel/playwright-cucumber-starter,https://github.com/JoanEsquivel/playwright-cucumber-starter,nodejs,7,7,0,TypeScript,False,2025-02-02T22:05:13Z,2025-02-03T00:37:05Z,Playwright + Cucumber project for teaching how to set it up,cache,4899242edffe82338f2192f2b3068e9a6e4bbaee,1,True
RashmiSandamini/Group_18_Cucumber_PW,https://github.com/RashmiSandamini/Group_18_Cucumber_PW,nodejs,7,1,0,TypeScript,False,2024-12-16T12:14:45Z,2025-07-17T14:28:36Z,,cache,1d9c9f951c66a47211e208ff6df1f67a3ee79239,17,True
raptatinha/blog-playwright-bdd,https://github.com/raptatinha/blog-playwright-bdd,nodejs,7,3,0,TypeScript,False,2023-05-18T02:15:40Z,2023-05-19T02:57:08Z,Playwright and bdd,200,8a6bc06684fbe2ee4c1b637ec1d0f6c49dcecbc9,1,False
javicoin/cucumber-playwright-synpress,https://github.com/javicoin/cucumber-playwright-synpress,nodejs,6,1,0,JavaScript,False,2023-10-18T13:04:30Z,2023-11-14T13:09:13Z,E2E Browser Automation for web3 dApps using Cucumber+Playwright+Synpress in JavaScript,cache,f2a6e311f377200ff64bed20c508bb1b8a0a50aa,1,True
vijayravindran90/playwright-cucumber-bdd,https://github.com/vijayravindran90/playwright-cucumber-bdd,nodejs,6,4,0,TypeScript,False,2023-03-04T17:35:48Z,2023-03-05T17:18:51Z,Starter repository for Playwright test using Cucumber BDD Framework,cache,2206c31034232aae488b932ba2dddf6fe0e2b17a,1,True
underc0delabs/Autoc0de-Web-Playwrigth-TestNG,https://github.com/underc0delabs/Autoc0de-Web-Playwrigth-TestNG,java,6,1,0,Java,False,2024-07-26T15:32:54Z,2024-07-30T14:13:33Z,"The future of web automation is Playwright, and in this web automation framework we demonstrate it using tools like Cucumber, Extent Report and Java integrating this Microsoft technology. In this case, we use TestNG like runner.",cache,fd774352edf75cf92ddb456bcf690a9aa465593e,1,True
cepnif/playwright-test-automation,https://github.com/cepnif/playwright-test-automation,java,5,0,0,Java,False,2025-02-24T20:22:49Z,2025-02-26T08:30:20Z,"A modular framework for API & UI testing using Java, Maven, Playwright, RestAssured, Cucumber BDD & TestNG. Supports parallel execution, cross-browser testing, centralized dependency management, detailed logging (Log4j2), and Cucumber HTML reporting.",200,5108e07aad14e0bff14b6736896b0bd3cbbddb35,6,False
Vishnupv160/playwright_Javascript_v1.0,https://github.com/Vishnupv160/playwright_Javascript_v1.0,nodejs,4,1,0,JavaScript,False,2023-10-17T04:45:23Z,2023-11-15T06:08:10Z,"The automation framework is based on @playwright/test, cucumber/cucumber, JSON Path, and node-xlsx. The framework is built using JavaScript programming language.",200,274f52f202cd5379eccf24b2d73a7c6eb086fc61,1,False
ISanjeevKumar/playwright-cucumber,https://github.com/ISanjeevKumar/playwright-cucumber,nodejs,3,2,0,TypeScript,False,2022-10-05T14:21:08Z,2022-10-11T07:15:15Z,Playwright Cucumber tests with Page object model design pattern,cache,bc1e8f7d7a29b3e0102ae2a8e9365537a47b0885,1,True
allure-cucumber-templates/cucumber-playwright-ts-allure,https://github.com/allure-cucumber-templates/cucumber-playwright-ts-allure,nodejs,3,2,3,TypeScript,False,2022-12-13T09:31:16Z,2026-07-03T06:08:20Z,cucumber playwright ts allure,cache,41b31d21ac3b487a1ca4567bf48b5342046cb107,13,True
