name,url,language,pw_evidence,workflow_files,latest_run_branch,latest_run_conclusion,latest_run_workflow,latest_run_url
BrowserStackCE/playwright-cucumber-browserstack,https://github.com/BrowserStackCE/playwright-cucumber-browserstack,nodejs,package.json declares a Playwright package | package.json declares a Cucumber package | setup/hooks.js imports Playwright in a step/support file,Semgrep.yml,main,success,Semgrep,https://github.com/BrowserStackCE/playwright-cucumber-browserstack/actions/runs/28735467852
FrankSantillan/ADT-Take-Home,https://github.com/FrankSantillan/ADT-Take-Home,nodejs,package.json declares a Playwright package | package.json declares a Cucumber package,automated-tests.yml,main,success,Automated Tests,https://github.com/FrankSantillan/ADT-Take-Home/actions/runs/17699250513
marcoturi/react-redux-boilerplate,https://github.com/marcoturi/react-redux-boilerplate,nodejs,package.json declares a Playwright package | package.json declares a Cucumber package | e2e/support/custom-world.ts imports Playwright in a step/support file,codeql-analysis.yml;release.yml,renovate/pnpm-11.x,success,CodeQL,https://github.com/marcoturi/react-redux-boilerplate/actions/runs/26658157842
YevShch/Espresso-Addict-Playwright-Cucumber,https://github.com/YevShch/Espresso-Addict-Playwright-Cucumber,nodejs,package.json declares a Playwright package | package.json declares a Cucumber package,run-tests.yml,main,success,Node.js CI,https://github.com/YevShch/Espresso-Addict-Playwright-Cucumber/actions/runs/24583391173
